Newton's Method >>>>>>>>>>>>>
j; 1000; i; -1.2250000000000028; temp; -0.2500751335877419; !!!FAIL
j; 1000; i; -1.2000000000000028; temp; -0.250075142197711; !!!FAIL
j; 1000; i; -1.175000000000003; temp; -0.25007515032185934; !!!FAIL
j; 1000; i; -1.150000000000003; temp; -0.25007515786824946; !!!FAIL
j; 1000; i; -1.125000000000003; temp; -0.25007516477375025; !!!FAIL
j; 1000; i; -1.1000000000000032; temp; -0.2500751710013364; !!!FAIL
j; 1000; i; -1.0750000000000033; temp; -0.25007517653707034; !!!FAIL
j; 1000; i; -1.0500000000000034; temp; -0.2500751813868822; !!!FAIL
j; 1000; i; -1.0250000000000035; temp; -0.25007518557325703; !!!FAIL
j; 1000; i; -1.0000000000000036; temp; -0.25007518913193333; !!!FAIL
j; 1000; i; -0.975; temp; -0.25007519210870405; !!!FAIL
j; 1000; i; -0.95; temp; -0.2500751945564016; !!!FAIL
j; 1000; i; -0.9249999999999999; temp; -0.25007519653213117; !!!FAIL
j; 1000; i; -0.8999999999999999; temp; -0.2500751980948037; !!!FAIL
j; 1000; i; -0.8749999999999999; temp; -0.25007519930300315; !!!FAIL
j; 1000; i; -0.8499999999999999; temp; -0.25007520021320756; !!!FAIL
j; 1000; i; -0.8249999999999998; temp; -0.2500752008783722; !!!FAIL
j; 1000; i; -0.7999999999999998; temp; -0.250075201346867; !!!FAIL
j; 1000; i; -0.7749999999999998; temp; -0.25007520166175423; !!!FAIL
j; 1000; i; -0.7499999999999998; temp; -0.25007520186038124; !!!FAIL
j; 1000; i; -0.7249999999999998; temp; -0.2500751421709686; !!!FAIL
j; 1000; i; -0.6999999999999997; temp; -0.2500750822380417; !!!FAIL
j; 1000; i; -0.6749999999999997; temp; -0.25007506436614163; !!!FAIL
j; 1000; i; -0.6499999999999997; temp; -0.2500750716066333; !!!FAIL
j; 1000; i; -0.6249999999999997; temp; -0.25007509168514924; !!!FAIL
j; 1000; i; -0.5999999999999996; temp; -0.2500751162494001; !!!FAIL
j; 1000; i; -0.5749999999999996; temp; -0.2500751400969963; !!!FAIL
j; 1000; i; -0.5499999999999996; temp; -0.2500751604259479; !!!FAIL
j; 1000; i; -0.5249999999999996; temp; -0.2500751761464731; !!!FAIL
j; 1000; i; -0.49999999999999956; temp; -0.2500751872848623; !!!FAIL
j; 1000; i; -0.47499999999999953; temp; -0.25007519449920756; !!!FAIL
j; 1000; i; -0.4499999999999995; temp; -0.2500751987143037; !!!FAIL
j; 1000; i; -0.4249999999999995; temp; -0.2500752008710043; !!!FAIL
j; 1000; i; -0.39999999999999947; temp; -0.2500752017758634; !!!FAIL
j; 1000; i; -0.37499999999999944; temp; -0.2500750797197773; !!!FAIL
j; 1000; i; -0.3499999999999994; temp; -0.25007508487431185; !!!FAIL
j; 1000; i; -0.3249999999999994; temp; -0.2500751494818205; !!!FAIL
j; 1000; i; -0.2999999999999994; temp; -0.25007519035990194; !!!FAIL
j; 1000; i; -0.27499999999999936; temp; -0.2500752016171465; !!!FAIL
j; 1000; i; -0.24999999999999936; temp; -0.24999999999999936; !!!FAIL
j; 1000; i; -0.22499999999999937; temp; -0.22499999999999937; !!!FAIL
j; 1000; i; -0.19999999999999937; temp; -0.19999999999999937; !!!FAIL
j; 1000; i; -0.17499999999999938; temp; -0.17499999999999938; !!!FAIL
j; 1000; i; -0.14999999999999938; temp; -0.14999999999999938; !!!FAIL
j; 1000; i; -0.12499999999999939; temp; -0.12499999999999939; !!!FAIL
j; 1000; i; -0.0999999999999994; temp; -0.0999999999999994; !!!FAIL
j; 1000; i; -0.0749999999999994; temp; -0.0749999999999994; !!!FAIL
j; 1000; i; -0.0499999999999994; temp; -0.0499999999999994; !!!FAIL
j; 1000; i; -0.024999999999999398; temp; -0.024999999999999398; !!!FAIL
